year,iso_code,country,prices,units,value
2015,AFG,Afghanistan,constant,USD million,27.4164
2015,AGO,Angola,constant,USD million,6512.9693
2015,ALB,Albania,constant,USD million,589.2756
2015,ARG,Argentina,constant,USD million,11510.9338
2015,ARM,Armenia,constant,USD million,359.8178
2015,AZE,Azerbaijan,constant,USD million,791.9118
2015,BDI,Burundi,constant,USD million,9.4117
2015,BEN,Benin,constant,USD million,69.3273
2015,BFA,Burkina Faso,constant,USD million,98.1661
2015,BGD,Bangladesh,constant,USD million,1295.3516
2015,BGR,Bulgaria,constant,USD million,399.4133
2015,BIH,Bosnia and Herzegovina,constant,USD million,397.4104
2015,BLR,Belarus,constant,USD million,3263.6212
2015,BLZ,Belize,constant,USD million,76.9912
2015,BOL,Bolivia,constant,USD million,526.0224
2015,BRA,Brazil,constant,USD million,28824.7917
2015,BTN,Bhutan,constant,USD million,127.3927
2015,BWA,Botswana,constant,USD million,156.5338
2015,CAF,Central African Republic,constant,USD million,3.4315
2015,CHN,China,constant,USD million,34621.8223
2015,CIV,Cote d'Ivoire,constant,USD million,398.0749
2015,CMR,Cameroon,constant,USD million,385.4533
2015,COD,"Congo, Dem. Rep.",constant,USD million,304.9984
2015,COG,"Congo, Rep.",constant,USD million,404.8031
2015,COL,Colombia,constant,USD million,4857.5256
2015,COM,Comoros,constant,USD million,7.057
2015,CPV,Cabo Verde,constant,USD million,41.5096
2015,CRI,Costa Rica,constant,USD million,1141.2532
2015,DJI,Djibouti,constant,USD million,42.6645
2015,DMA,Dominica,constant,USD million,21.1166
2015,DOM,Dominican Republic,constant,USD million,3531.4402
2015,DZA,Algeria,constant,USD million,187.9466
2015,ECU,Ecuador,constant,USD million,3172.4442
2015,EGY,"Egypt, Arab Rep.",constant,USD million,3576.3665
2015,ERI,Eritrea,constant,USD million,32.5707
2015,ETH,Ethiopia,constant,USD million,1058.934
2015,FJI,Fiji,constant,USD million,315.5023
2015,GAB,Gabon,constant,USD million,466.7573
2015,GEO,Georgia,constant,USD million,600.8861
2015,GHA,Ghana,constant,USD million,931.7077
2015,GIN,Guinea,constant,USD million,45.4586
2015,GMB,"Gambia, The",constant,USD million,35.2619
2015,GNB,Guinea-Bissau,constant,USD million,4.8059
2015,GRD,Grenada,constant,USD million,22.269
2015,GTM,Guatemala,constant,USD million,637.9514
2015,GUY,Guyana,constant,USD million,45.6048
2015,HND,Honduras,constant,USD million,331.3984
2015,HTI,Haiti,constant,USD million,34.9169
2015,IDN,Indonesia,constant,USD million,14228.4712
2015,IND,India,constant,USD million,13672.5351
2015,IRN,"Iran, Islamic Rep.",constant,USD million,690.1042
2015,IRQ,Iraq,constant,USD million,1283.6854
2015,JAM,Jamaica,constant,USD million,1133.7538
2015,JOR,Jordan,constant,USD million,1794.8921
2015,KAZ,Kazakhstan,constant,USD million,863.469
2015,KEN,Kenya,constant,USD million,679.9003
2015,KGZ,Kyrgyz Republic,constant,USD million,117.3313
2015,KHM,Cambodia,constant,USD million,136.6318
2015,LAO,Lao PDR,constant,USD million,249.0278
2015,LBN,Lebanon,constant,USD million,3909.992
2015,LBR,Liberia,constant,USD million,5.1446
2015,LCA,St. Lucia,constant,USD million,66.0991
2015,LKA,Sri Lanka,constant,USD million,2448.4526
2015,LSO,Lesotho,constant,USD million,51.5885
2015,MAR,Morocco,constant,USD million,2550.2545
2015,MDA,Moldova,constant,USD million,55.5616
2015,MDG,Madagascar,constant,USD million,120.0767
2015,MDV,Maldives,constant,USD million,94.935
2015,MEX,Mexico,constant,USD million,26184.4621
2015,MKD,North Macedonia,constant,USD million,404.3274
2015,MLI,Mali,constant,USD million,104.701
2015,MMR,Myanmar,constant,USD million,482.1844
2015,MNE,Montenegro,constant,USD million,475.4344
2015,MNG,Mongolia,constant,USD million,156.0023
2015,MOZ,Mozambique,constant,USD million,410.992
2015,MRT,Mauritania,constant,USD million,235.643
2015,MUS,Mauritius,constant,USD million,118.6674
2015,MWI,Malawi,constant,USD million,45.9423
2015,NER,Niger,constant,USD million,77.3284
2015,NGA,Nigeria,constant,USD million,397.1819
2015,NIC,Nicaragua,constant,USD million,132.4339
2015,NPL,Nepal,constant,USD million,197.4124
2015,PAK,Pakistan,constant,USD million,3172.876
2015,PER,Peru,constant,USD million,1717.3265
2015,PHL,Philippines,constant,USD million,5584.2374
2015,PNG,Papua New Guinea,constant,USD million,87.3535
2015,PRY,Paraguay,constant,USD million,317.925
2015,RUS,Russian Federation,constant,USD million,47153.435
2015,RWA,Rwanda,constant,USD million,56.5739
2015,SDN,Sudan,constant,USD million,514.1635
2015,SEN,Senegal,constant,USD million,240.1233
2015,SLB,Solomon Islands,constant,USD million,6.4512
2015,SLE,Sierra Leone,constant,USD million,21.5418
2015,SLV,El Salvador,constant,USD million,899.6029
2015,SOM,Somalia,constant,USD million,0.0
2015,SRB,Serbia,constant,USD million,1420.9001
2015,STP,Sao Tome and Principe,constant,USD million,1.7535
2015,SUR,Suriname,constant,USD million,52.3611
2015,SWZ,Eswatini,constant,USD million,33.8724
2015,SYR,Syrian Arab Republic,constant,USD million,0.0
2015,TCD,Chad,constant,USD million,100.211
2015,TGO,Togo,constant,USD million,43.5388
2015,THA,Thailand,constant,USD million,2133.9949
2015,TJK,Tajikistan,constant,USD million,126.1041
2015,TKM,Turkmenistan,constant,USD million,1455.7078
2015,TLS,Timor-Leste,constant,USD million,0.302
2015,TON,Tonga,constant,USD million,6.4299
2015,TUN,Tunisia,constant,USD million,1587.2345
2015,TUR,Turkiye,constant,USD million,10930.891
2015,TZA,Tanzania,constant,USD million,345.7808
2015,UGA,Uganda,constant,USD million,86.3194
2015,UKR,Ukraine,constant,USD million,14947.843
2015,UZB,Uzbekistan,constant,USD million,358.182
2015,VCT,St. Vincent and the Grenadines,constant,USD million,32.4656
2015,VNM,Viet Nam,constant,USD million,2832.7746
2015,VUT,Vanuatu,constant,USD million,6.2885
2015,WSM,Samoa,constant,USD million,19.3587
2015,XKX,Kosovo,constant,USD million,23.8465
2015,YEM,"Yemen, Rep.",constant,USD million,356.0379
2015,ZAF,South Africa,constant,USD million,15888.4044
2015,ZMB,Zambia,constant,USD million,344.7602
2015,ZWE,Zimbabwe,constant,USD million,157.0519
2016,AFG,Afghanistan,constant,USD million,34.4207
2016,AGO,Angola,constant,USD million,10444.6694
2016,ALB,Albania,constant,USD million,272.7176
2016,ARG,Argentina,constant,USD million,19962.2105
2016,ARM,Armenia,constant,USD million,196.3594
2016,AZE,Azerbaijan,constant,USD million,1351.342
2016,BDI,Burundi,constant,USD million,15.9228
2016,BEN,Benin,constant,USD million,88.155
2016,BFA,Burkina Faso,constant,USD million,103.791
2016,BGD,Bangladesh,constant,USD million,1159.3708
2016,BGR,Bulgaria,constant,USD million,505.4699
2016,BIH,Bosnia and Herzegovina,constant,USD million,328.1933
2016,BLR,Belarus,constant,USD million,3520.3707
2016,BLZ,Belize,constant,USD million,83.0907
2016,BOL,Bolivia,constant,USD million,470.7752
2016,BRA,Brazil,constant,USD million,23762.2091
2016,BTN,Bhutan,constant,USD million,78.1528
2016,BWA,Botswana,constant,USD million,153.667
2016,CAF,Central African Republic,constant,USD million,5.6725
2016,CHN,China,constant,USD million,19577.3281
2016,CIV,Cote d'Ivoire,constant,USD million,1055.443
2016,CMR,Cameroon,constant,USD million,443.3092
2016,COD,"Congo, Dem. Rep.",constant,USD million,371.8515
2016,COG,"Congo, Rep.",constant,USD million,366.9485
2016,COL,Colombia,constant,USD million,6191.8642
2016,COM,Comoros,constant,USD million,4.4701
2016,CPV,Cabo Verde,constant,USD million,42.9934
2016,CRI,Costa Rica,constant,USD million,1043.6071
2016,DJI,Djibouti,constant,USD million,56.1565
2016,DMA,Dominica,constant,USD million,24.4368
2016,DOM,Dominican Republic,constant,USD million,1788.4922
2016,DZA,Algeria,constant,USD million,178.7441
2016,ECU,Ecuador,constant,USD million,3022.455
2016,EGY,"Egypt, Arab Rep.",constant,USD million,6372.607
2016,ERI,Eritrea,constant,USD million,26.2865
2016,ETH,Ethiopia,constant,USD million,1103.5158
2016,FJI,Fiji,constant,USD million,69.3363
2016,GAB,Gabon,constant,USD million,383.5009
2016,GEO,Georgia,constant,USD million,416.7118
2016,GHA,Ghana,constant,USD million,1362.5175
2016,GIN,Guinea,constant,USD million,63.7487
2016,GMB,"Gambia, The",constant,USD million,32.9406
2016,GNB,Guinea-Bissau,constant,USD million,5.2483
2016,GRD,Grenada,constant,USD million,45.5718
2016,GTM,Guatemala,constant,USD million,681.8773
2016,GUY,Guyana,constant,USD million,49.2586
2016,HND,Honduras,constant,USD million,397.7144
2016,HTI,Haiti,constant,USD million,93.1394
2016,IDN,Indonesia,constant,USD million,15514.4576
2016,IND,India,constant,USD million,22404.5721
2016,IRN,"Iran, Islamic Rep.",constant,USD million,1960.5266
2016,IRQ,Iraq,constant,USD million,1534.3545
2016,JAM,Jamaica,constant,USD million,1776.4597
2016,JOR,Jordan,constant,USD million,1823.1732
2016,KAZ,Kazakhstan,constant,USD million,1668.0444
2016,KEN,Kenya,constant,USD million,755.8099
2016,KGZ,Kyrgyz Republic,constant,USD million,136.0635
2016,KHM,Cambodia,constant,USD million,182.9376
2016,LAO,Lao PDR,constant,USD million,363.1492
2016,LBN,Lebanon,constant,USD million,4307.8146
2016,LBR,Liberia,constant,USD million,4.3775
2016,LCA,St. Lucia,constant,USD million,44.4478
2016,LKA,Sri Lanka,constant,USD million,2143.739
2016,LSO,Lesotho,constant,USD million,55.2675
2016,MAR,Morocco,constant,USD million,3013.393
2016,MDA,Moldova,constant,USD million,52.2024
2016,MDG,Madagascar,constant,USD million,95.5664
2016,MDV,Maldives,constant,USD million,97.6497
2016,MEX,Mexico,constant,USD million,45286.7561
2016,MKD,North Macedonia,constant,USD million,382.8038
2016,MLI,Mali,constant,USD million,118.9993
2016,MMR,Myanmar,constant,USD million,798.738
2016,MNE,Montenegro,constant,USD million,442.3812
2016,MNG,Mongolia,constant,USD million,207.2349
2016,MOZ,Mozambique,constant,USD million,448.762
2016,MRT,Mauritania,constant,USD million,241.5715
2016,MUS,Mauritius,constant,USD million,137.358
2016,MWI,Malawi,constant,USD million,59.4108
2016,NER,Niger,constant,USD million,103.0873
2016,NGA,Nigeria,constant,USD million,424.7575
2016,NIC,Nicaragua,constant,USD million,163.6431
2016,NPL,Nepal,constant,USD million,204.5414
2016,PAK,Pakistan,constant,USD million,3732.1791
2016,PER,Peru,constant,USD million,1895.5148
2016,PHL,Philippines,constant,USD million,6709.1294
2016,PNG,Papua New Guinea,constant,USD million,108.3834
2016,PRY,Paraguay,constant,USD million,429.6049
2016,RUS,Russian Federation,constant,USD million,55518.8321
2016,RWA,Rwanda,constant,USD million,67.4438
2016,SDN,Sudan,constant,USD million,294.1194
2016,SEN,Senegal,constant,USD million,264.472
2016,SLB,Solomon Islands,constant,USD million,7.6214
2016,SLE,Sierra Leone,constant,USD million,37.6996
2016,SLV,El Salvador,constant,USD million,963.0721
2016,SOM,Somalia,constant,USD million,0.0
2016,SRB,Serbia,constant,USD million,1629.5709
2016,STP,Sao Tome and Principe,constant,USD million,1.6638
2016,SUR,Suriname,constant,USD million,216.9605
2016,SWZ,Eswatini,constant,USD million,42.6529
2016,SYR,Syrian Arab Republic,constant,USD million,0.0
2016,TCD,Chad,constant,USD million,163.6661
2016,TGO,Togo,constant,USD million,65.397
2016,THA,Thailand,constant,USD million,801.209
2016,TJK,Tajikistan,constant,USD million,177.014
2016,TKM,Turkmenistan,constant,USD million,1562.0377
2016,TLS,Timor-Leste,constant,USD million,0.8089
2016,TON,Tonga,constant,USD million,6.8414
2016,TUN,Tunisia,constant,USD million,1729.9201
2016,TUR,Turkiye,constant,USD million,13290.0505
2016,TZA,Tanzania,constant,USD million,628.6337
2016,UGA,Uganda,constant,USD million,101.1857
2016,UKR,Ukraine,constant,USD million,3408.7403
2016,UZB,Uzbekistan,constant,USD million,457.6777
2016,VCT,St. Vincent and the Grenadines,constant,USD million,30.8474
2016,VNM,Viet Nam,constant,USD million,3668.5586
2016,VUT,Vanuatu,constant,USD million,8.0908
2016,WSM,Samoa,constant,USD million,22.5039
2016,XKX,Kosovo,constant,USD million,29.1449
2016,YEM,"Yemen, Rep.",constant,USD million,158.2483
2016,ZAF,South Africa,constant,USD million,6140.327
2016,ZMB,Zambia,constant,USD million,576.192
2016,ZWE,Zimbabwe,constant,USD million,151.6288
2017,AFG,Afghanistan,constant,USD million,34.0822
2017,AGO,Angola,constant,USD million,7518.1475
2017,ALB,Albania,constant,USD million,285.5776
2017,ARG,Argentina,constant,USD million,30393.6117
2017,ARM,Armenia,constant,USD million,227.2708
2017,AZE,Azerbaijan,constant,USD million,1980.7709
2017,BDI,Burundi,constant,USD million,10.4078
2017,BEN,Benin,constant,USD million,84.9887
2017,BFA,Burkina Faso,constant,USD million,109.4197
2017,BGD,Bangladesh,constant,USD million,1350.9053
2017,BGR,Bulgaria,constant,USD million,1503.9537
2017,BIH,Bosnia and Herzegovina,constant,USD million,350.2323
2017,BLR,Belarus,constant,USD million,2621.4978
2017,BLZ,Belize,constant,USD million,81.7404
2017,BOL,Bolivia,constant,USD million,555.0151
2017,BRA,Brazil,constant,USD million,25573.0967
2017,BTN,Bhutan,constant,USD million,74.7482
2017,BWA,Botswana,constant,USD million,162.4212
2017,CAF,Central African Republic,constant,USD million,16.5184
2017,CHN,China,constant,USD million,19460.9937
2017,CIV,Cote d'Ivoire,constant,USD million,1754.6246
2017,CMR,Cameroon,constant,USD million,400.7774
2017,COD,"Congo, Dem. Rep.",constant,USD million,264.072
2017,COG,"Congo, Rep.",constant,USD million,366.117
2017,COL,Colombia,constant,USD million,9911.53
2017,COM,Comoros,constant,USD million,1.8861
2017,CPV,Cabo Verde,constant,USD million,49.2242
2017,CRI,Costa Rica,constant,USD million,1136.4652
2017,DJI,Djibouti,constant,USD million,60.2108
2017,DMA,Dominica,constant,USD million,27.3175
2017,DOM,Dominican Republic,constant,USD million,1513.3488
2017,DZA,Algeria,constant,USD million,173.0245
2017,ECU,Ecuador,constant,USD million,4560.8545
2017,EGY,"Egypt, Arab Rep.",constant,USD million,9483.9101
2017,ERI,Eritrea,constant,USD million,27.5433
2017,ETH,Ethiopia,constant,USD million,1382.891
2017,FJI,Fiji,constant,USD million,53.571
2017,GAB,Gabon,constant,USD million,610.8117
2017,GEO,Georgia,constant,USD million,612.4925
2017,GHA,Ghana,constant,USD million,1631.8432
2017,GIN,Guinea,constant,USD million,82.6202
2017,GMB,"Gambia, The",constant,USD million,31.4319
2017,GNB,Guinea-Bissau,constant,USD million,11.1859
2017,GRD,Grenada,constant,USD million,52.5476
2017,GTM,Guatemala,constant,USD million,765.6025
2017,GUY,Guyana,constant,USD million,56.0446
2017,HND,Honduras,constant,USD million,417.4029
2017,HTI,Haiti,constant,USD million,10.708
2017,IDN,Indonesia,constant,USD million,17161.2963
2017,IND,India,constant,USD million,12963.6353
2017,IRN,"Iran, Islamic Rep.",constant,USD million,384.0797
2017,IRQ,Iraq,constant,USD million,1430.9911
2017,JAM,Jamaica,constant,USD million,1216.938
2017,JOR,Jordan,constant,USD million,910.5741
2017,KAZ,Kazakhstan,constant,USD million,2216.9746
2017,KEN,Kenya,constant,USD million,1090.4306
2017,KGZ,Kyrgyz Republic,constant,USD million,125.4802
2017,KHM,Cambodia,constant,USD million,203.9167
2017,LAO,Lao PDR,constant,USD million,458.6068
2017,LBN,Lebanon,constant,USD million,4622.8708
2017,LBR,Liberia,constant,USD million,8.7609
2017,LCA,St. Lucia,constant,USD million,41.1454
2017,LKA,Sri Lanka,constant,USD million,3485.1804
2017,LSO,Lesotho,constant,USD million,44.4304
2017,MAR,Morocco,constant,USD million,3266.8252
2017,MDA,Moldova,constant,USD million,61.3914
2017,MDG,Madagascar,constant,USD million,106.3473
2017,MDV,Maldives,constant,USD million,115.6501
2017,MEX,Mexico,constant,USD million,38398.0747
2017,MKD,North Macedonia,constant,USD million,345.6321
2017,MLI,Mali,constant,USD million,137.8004
2017,MMR,Myanmar,constant,USD million,718.9366
2017,MNE,Montenegro,constant,USD million,263.7685
2017,MNG,Mongolia,constant,USD million,309.556
2017,MOZ,Mozambique,constant,USD million,480.8394
2017,MRT,Mauritania,constant,USD million,296.2301
2017,MUS,Mauritius,constant,USD million,258.9364
2017,MWI,Malawi,constant,USD million,51.7523
2017,NER,Niger,constant,USD million,120.651
2017,NGA,Nigeria,constant,USD million,447.0946
2017,NIC,Nicaragua,constant,USD million,201.8102
2017,NPL,Nepal,constant,USD million,191.7526
2017,PAK,Pakistan,constant,USD million,5729.6569
2017,PER,Peru,constant,USD million,4476.0401
2017,PHL,Philippines,constant,USD million,5627.1071
2017,PNG,Papua New Guinea,constant,USD million,140.1184
2017,PRY,Paraguay,constant,USD million,425.9436
2017,RUS,Russian Federation,constant,USD million,23805.1761
2017,RWA,Rwanda,constant,USD million,74.5912
2017,SDN,Sudan,constant,USD million,326.2414
2017,SEN,Senegal,constant,USD million,425.3958
2017,SLB,Solomon Islands,constant,USD million,6.0343
2017,SLE,Sierra Leone,constant,USD million,45.962
2017,SLV,El Salvador,constant,USD million,965.8242
2017,SOM,Somalia,constant,USD million,0.0
2017,SRB,Serbia,constant,USD million,2624.7307
2017,STP,Sao Tome and Principe,constant,USD million,2.8817
2017,SUR,Suriname,constant,USD million,182.4438
2017,SWZ,Eswatini,constant,USD million,43.4483
2017,SYR,Syrian Arab Republic,constant,USD million,0.0
2017,TCD,Chad,constant,USD million,165.7555
2017,TGO,Togo,constant,USD million,73.979
2017,THA,Thailand,constant,USD million,756.3825
2017,TJK,Tajikistan,constant,USD million,179.0622
2017,TKM,Turkmenistan,constant,USD million,1697.2839
2017,TLS,Timor-Leste,constant,USD million,1.712
2017,TON,Tonga,constant,USD million,5.8332
2017,TUN,Tunisia,constant,USD million,2506.8299
2017,TUR,Turkiye,constant,USD million,18701.6311
2017,TZA,Tanzania,constant,USD million,712.8754
2017,UGA,Uganda,constant,USD million,181.0508
2017,UKR,Ukraine,constant,USD million,4289.671
2017,UZB,Uzbekistan,constant,USD million,700.2547
2017,VCT,St. Vincent and the Grenadines,constant,USD million,32.121
2017,VNM,Viet Nam,constant,USD million,3595.4277
2017,VUT,Vanuatu,constant,USD million,8.0308
2017,WSM,Samoa,constant,USD million,24.479
2017,XKX,Kosovo,constant,USD million,29.5642
2017,YEM,"Yemen, Rep.",constant,USD million,107.3191
2017,ZAF,South Africa,constant,USD million,5122.1523
2017,ZMB,Zambia,constant,USD million,510.3741
2017,ZWE,Zimbabwe,constant,USD million,135.9392
2018,AFG,Afghanistan,constant,USD million,37.9275
2018,AGO,Angola,constant,USD million,10174.1864
2018,ALB,Albania,constant,USD million,564.3206
2018,ARG,Argentina,constant,USD million,32169.134
2018,ARM,Armenia,constant,USD million,288.0396
2018,AZE,Azerbaijan,constant,USD million,2328.3848
2018,BDI,Burundi,constant,USD million,12.7034
2018,BEN,Benin,constant,USD million,195.1984
2018,BFA,Burkina Faso,constant,USD million,102.7891
2018,BGD,Bangladesh,constant,USD million,1521.9996
2018,BGR,Bulgaria,constant,USD million,473.2242
2018,BIH,Bosnia and Herzegovina,constant,USD million,369.6665
2018,BLR,Belarus,constant,USD million,4331.9307
2018,BLZ,Belize,constant,USD million,81.2772
2018,BOL,Bolivia,constant,USD million,626.1737
2018,BRA,Brazil,constant,USD million,31952.6084
2018,BTN,Bhutan,constant,USD million,80.122
2018,BWA,Botswana,constant,USD million,161.8345
2018,CAF,Central African Republic,constant,USD million,10.4329
2018,CHN,China,constant,USD million,20985.5462
2018,CIV,Cote d'Ivoire,constant,USD million,1047.4755
2018,CMR,Cameroon,constant,USD million,547.6266
2018,COD,"Congo, Dem. Rep.",constant,USD million,207.5946
2018,COG,"Congo, Rep.",constant,USD million,329.387
2018,COL,Colombia,constant,USD million,9634.7824
2018,COM,Comoros,constant,USD million,2.6477
2018,CPV,Cabo Verde,constant,USD million,53.3207
2018,CRI,Costa Rica,constant,USD million,1595.4214
2018,DJI,Djibouti,constant,USD million,58.5405
2018,DMA,Dominica,constant,USD million,31.111
2018,DOM,Dominican Republic,constant,USD million,1709.5492
2018,DZA,Algeria,constant,USD million,152.0962
2018,ECU,Ecuador,constant,USD million,5232.5182
2018,EGY,"Egypt, Arab Rep.",constant,USD million,12038.8705
2018,ERI,Eritrea,constant,USD million,30.7283
2018,ETH,Ethiopia,constant,USD million,1587.4837
2018,FJI,Fiji,constant,USD million,61.5641
2018,GAB,Gabon,constant,USD million,629.0846
2018,GEO,Georgia,constant,USD million,457.9187
2018,GHA,Ghana,constant,USD million,2096.6726
2018,GIN,Guinea,constant,USD million,106.6443
2018,GMB,"Gambia, The",constant,USD million,35.8145
2018,GNB,Guinea-Bissau,constant,USD million,12.9825
2018,GRD,Grenada,constant,USD million,48.9793
2018,GTM,Guatemala,constant,USD million,565.4886
2018,GUY,Guyana,constant,USD million,77.415
2018,HND,Honduras,constant,USD million,516.1213
2018,HTI,Haiti,constant,USD million,8.0681
2018,IDN,Indonesia,constant,USD million,16796.9242
2018,IND,India,constant,USD million,22634.94
2018,IRN,"Iran, Islamic Rep.",constant,USD million,209.2056
2018,IRQ,Iraq,constant,USD million,1600.7894
2018,JAM,Jamaica,constant,USD million,985.3809
2018,JOR,Jordan,constant,USD million,1037.9029
2018,KAZ,Kazakhstan,constant,USD million,1675.9402
2018,KEN,Kenya,constant,USD million,2017.0205
2018,KGZ,Kyrgyz Republic,constant,USD million,141.8854
2018,KHM,Cambodia,constant,USD million,246.0939
2018,LAO,Lao PDR,constant,USD million,618.122
2018,LBN,Lebanon,constant,USD million,4333.5971
2018,LBR,Liberia,constant,USD million,11.8457
2018,LCA,St. Lucia,constant,USD million,42.6092
2018,LKA,Sri Lanka,constant,USD million,4571.9715
2018,LSO,Lesotho,constant,USD million,51.2341
2018,MAR,Morocco,constant,USD million,2897.0239
2018,MDA,Moldova,constant,USD million,86.5143
2018,MDG,Madagascar,constant,USD million,92.5309
2018,MDV,Maldives,constant,USD million,372.808
2018,MEX,Mexico,constant,USD million,31600.6229
2018,MKD,North Macedonia,constant,USD million,433.9011
2018,MLI,Mali,constant,USD million,144.2255
2018,MMR,Myanmar,constant,USD million,920.9777
2018,MNE,Montenegro,constant,USD million,578.1651
2018,MNG,Mongolia,constant,USD million,888.5413
2018,MOZ,Mozambique,constant,USD million,555.6404
2018,MRT,Mauritania,constant,USD million,337.8215
2018,MUS,Mauritius,constant,USD million,162.3306
2018,MWI,Malawi,constant,USD million,55.1632
2018,NER,Niger,constant,USD million,103.7833
2018,NGA,Nigeria,constant,USD million,1692.8983
2018,NIC,Nicaragua,constant,USD million,236.9159
